"","employee_id","gender","age","education","department","job_level","years_experience","salary","bonus","performance_rating","date_joined","location","tenure_years","attrition_flag","base_salary","variable_pay","total_compensation","employee_satisfaction","work_life_balance_score","training_hours","certifications_count","absences_last_year","hours_worked_per_week","salary_bucket","experience_bucket","hours_bin","wlb_bin"
"27","E0027","Male",39,"Masters","Marketing",4,15,2166000,505600,4,2015-08-19,"Delhi",9.4,"No",1737100,428900,2671600,9,7,42,2,5,41,"High","11–20","41–45","6–7"
"28","E0028","Male",34,"Masters","Operations",5,12,2895000,703300,3,2016-03-08,"Bangalore",8.8,"Yes",2583300,311700,3598300,8,7,51,2,3,42,"High","11–20","41–45","6–7"
"29","E0029","Female",32,"Bachelors","Finance",3,10,1403000,291500,5,2011-10-10,"Pune",13.2,"No",1197100,205900,1694500,5,1,54,3,5,46,"High","6–10","46–50","1–3"
"30","E0030","Female",33,"Masters","Marketing",5,8,2631000,455600,2,2016-07-16,"Delhi",8.5,"No",1981300,649700,3086600,8,7,56,3,2,47,"High","6–10","46–50","6–7"
"31","E0031","Other",21,"Bachelors","Operations",1,0,448000,28400,4,2017-09-10,"Chennai",7.3,"No",343200,104800,476400,8,8,30,1,5,41,"Low","0–5","41–45","8–10"
"32","E0032","Male",30,"Masters","Operations",3,8,1385000,214500,4,2012-08-14,"Pune",12.4,"Yes",1163700,221300,1599500,9,3,8,2,3,43,"High","6–10","41–45","1–3"
"33","E0033","Male",27,"Bachelors","Operations",3,1,1127000,112100,2,2024-08-15,"Mumbai",0.4,"No",978600,148400,1239100,6,6,52,2,3,45,"Medium","0–5","41–45","6–7"
"34","E0034","Male",21,"Bachelors","Sales",2,0,702000,52300,3,2010-05-04,"Bangalore",14.7,"No",580800,121200,754300,5,4,39,1,3,34,"Low","0–5","<=35","4–5"
"35","E0035","Female",23,"Masters","IT",1,0,526000,39200,4,2023-12-20,"Pune",1,"No",472200,53800,565200,7,7,46,1,1,44,"Low","0–5","41–45","6–7"
"36","E0036","Female",32,"Masters","Marketing",3,9,1240000,150800,3,2016-09-14,"Hyderabad",8.3,"No",1054900,185100,1390800,6,7,28,4,2,43,"Medium","6–10","41–45","6–7"
"37","E0037","Male",31,"Bachelors","Operations",3,9,1186000,96300,2,2019-11-09,"Mumbai",5.2,"No",914300,271700,1282300,7,7,40,0,6,36,"Medium","6–10","36–40","6–7"
"38","E0038","Female",24,"Masters","HR",2,0,654000,32400,2,2021-10-23,"Delhi",3.2,"No",569000,85000,686400,7,7,35,1,6,48,"Low","0–5","46–50","6–7"
"39","E0039","Female",35,"Bachelors","HR",3,13,1337000,155500,3,2015-02-09,"Delhi",9.9,"No",1099700,237300,1492500,8,6,33,1,0,50,"High","11–20","46–50","6–7"
"40","E0040","Female",39,"Bachelors","Marketing",4,16,2131000,262600,2,2012-02-29,"Delhi",12.8,"No",1626000,505000,2393600,7,7,58,0,4,39,"High","11–20","36–40","6–7"
"41","E0041","Female",21,"High School","Finance",3,0,1258000,119400,2,2023-03-16,"Bangalore",1.8,"No",955900,302100,1377400,2,6,35,1,2,40,"Medium","0–5","36–40","6–7"
"42","E0042","Female",32,"Masters","IT",2,5,1026000,98700,4,2010-08-07,"Bangalore",14.4,"Yes",890800,135200,1124700,7,5,26,0,4,44,"Medium","0–5","41–45","4–5"
"43","E0043","Female",21,"Masters","Finance",3,0,1236000,168600,3,2012-11-22,"Chennai",12.1,"Yes",1110800,125200,1404600,8,5,34,2,5,39,"Medium","0–5","36–40","4–5"
"44","E0044","Female",24,"Masters","Marketing",2,2,879000,68800,3,2023-10-28,"Pune",1.2,"No",745800,133200,947800,7,9,23,3,2,40,"Medium","0–5","36–40","8–10"
"45","E0045","Female",21,"Bachelors","HR",2,0,555000,54100,4,2011-03-07,"Hyderabad",13.8,"No",477200,77800,609100,2,7,49,1,2,42,"Low","0–5","41–45","6–7"
"46","E0046","Female",21,"Bachelors","HR",1,0,432000,18500,3,2022-02-08,"Mumbai",2.9,"No",354700,77300,450500,2,6,38,1,5,45,"Low","0–5","41–45","6–7"
"47","E0047","Female",37,"Bachelors","R&D",3,8,1390000,169400,3,2017-05-01,"Bangalore",7.7,"No",1189500,200500,1559400,8,7,60,2,2,39,"High","6–10","36–40","6–7"
"48","E0048","Female",25,"Bachelors","IT",1,0,269000,18200,3,2012-07-26,"Mumbai",12.4,"No",214900,54100,287200,10,4,48,2,4,38,"Low","0–5","36–40","4–5"
"49","E0049","Female",32,"High School","IT",3,6,1468000,120000,2,2020-11-07,"Pune",4.2,"Yes",1178900,289100,1588000,4,5,22,2,3,42,"High","6–10","41–45","4–5"
"50","E0050","Male",24,"PhD","Finance",4,2,1870000,334800,3,2020-05-09,"Chennai",4.7,"No",1585500,284500,2204800,8,4,21,3,6,42,"High","0–5","41–45","4–5"
"51","E0051","Female",23,"Masters","Operations",1,0,250000,5500,1,2018-12-08,"Mumbai",6.1,"No",219400,30600,255500,7,8,26,3,5,40,"Low","0–5","36–40","8–10"
"52","E0052","Female",29,"High School","IT",2,4,810000,65300,3,2024-05-17,"Bangalore",0.6,"No",634900,175100,875300,3,5,25,1,3,51,"Medium","0–5","50+","4–5"
"53","E0053","Male",38,"High School","HR",4,16,1853000,553300,5,2013-04-18,"Pune",11.7,"No",1629400,223600,2406300,6,4,21,0,6,45,"High","11–20","41–45","4–5"
"54","E0054","Female",21,"Masters","IT",2,0,899000,80800,3,2015-12-13,"Pune",9.1,"No",762600,136400,979800,6,5,45,0,3,37,"Medium","0–5","36–40","4–5"
"55","E0055","Male",31,"Masters","HR",2,9,902000,39400,2,2019-10-23,"Pune",5.2,"No",696600,205400,941400,5,4,50,1,6,39,"Medium","6–10","36–40","4–5"
"56","E0056","Female",27,"Bachelors","IT",4,4,1718000,508900,5,2011-01-12,"Delhi",14,"No",1418200,299800,2226900,6,7,49,1,4,41,"High","0–5","41–45","6–7"
"57","E0057","Female",39,"Masters","Operations",3,16,1511000,175000,3,2020-10-06,"Hyderabad",4.2,"No",1265500,245500,1686000,4,3,49,0,4,40,"High","11–20","36–40","1–3"
"58","E0058","Male",21,"Bachelors","Marketing",1,0,596000,28100,3,2015-01-02,"Mumbai",10,"No",451400,144600,624100,3,6,33,5,2,47,"Low","0–5","46–50","6–7"
"59","E0059","Male",26,"Bachelors","Marketing",1,4,389000,29400,4,2018-12-27,"Mumbai",6,"No",307600,81400,418400,9,5,75,0,3,36,"Low","0–5","36–40","4–5"
"60","E0060","Female",40,"Masters","Operations",5,16,2977000,949000,4,2016-03-09,"Bangalore",8.8,"No",2660800,316200,3926000,6,7,40,0,7,36,"High","11–20","36–40","6–7"
"61","E0061","Male",33,"Masters","IT",5,11,2932000,947700,4,2010-07-06,"Mumbai",14.5,"No",2526900,405100,3879700,5,5,51,0,5,49,"High","11–20","46–50","4–5"
"62","E0062","Female",32,"Bachelors","R&D",2,10,993000,1e+05,4,2014-06-04,"Mumbai",10.6,"No",891000,102000,1093000,3,6,33,1,8,51,"Medium","6–10","50+","6–7"
"63","E0063","Female",22,"Bachelors","Operations",1,0,567000,37400,3,2020-05-19,"Pune",4.6,"No",484500,82500,604400,7,4,38,2,8,44,"Low","0–5","41–45","4–5"
"64","E0064","Female",30,"Bachelors","R&D",2,8,1003000,118800,4,2011-12-16,"Pune",13.1,"No",881100,121900,1121800,5,5,38,2,3,39,"Medium","6–10","36–40","4–5"
"65","E0065","Male",31,"Bachelors","IT",3,8,1552000,225700,4,2021-07-07,"Delhi",3.5,"No",1199100,352900,1777700,6,8,22,3,5,38,"High","6–10","36–40","8–10"
"66","E0066","Female",26,"Masters","IT",1,1,625000,34000,3,2012-03-02,"Delhi",12.8,"No",500600,124400,659000,7,6,43,0,5,39,"Low","0–5","36–40","6–7"
"67","E0067","Male",30,"Masters","Sales",3,8,1498000,160300,3,2011-12-19,"Delhi",13,"No",1233900,264100,1658300,3,3,51,0,6,44,"High","6–10","41–45","1–3"
"68","E0068","Male",40,"Bachelors","Sales",4,13,1840000,216600,2,2016-12-25,"Pune",8,"No",1456700,383300,2056600,5,5,22,2,4,50,"High","11–20","46–50","4–5"
"69","E0069","Male",21,"PhD","R&D",1,0,822000,48600,4,2010-07-05,"Mumbai",14.5,"No",701400,120600,870600,7,8,50,1,4,43,"Medium","0–5","41–45","8–10"
"70","E0070","Female",33,"Masters","HR",3,6,1201000,177200,4,2023-11-06,"Pune",1.2,"No",1056100,144900,1378200,6,1,47,2,4,42,"Medium","6–10","41–45","1–3"
"71","E0071","Male",36,"High School","IT",4,14,1995000,363700,3,2013-06-29,"Bangalore",11.5,"No",1617100,377900,2358700,5,1,59,1,6,33,"High","11–20","<=35","1–3"
"72","E0072","Male",38,"High School","HR",4,16,1896000,574200,5,2024-08-27,"Bangalore",0.3,"No",1657100,238900,2470200,8,3,25,1,5,38,"High","11–20","36–40","1–3"
"73","E0073","Male",27,"High School","Operations",3,2,1097000,95500,2,2022-06-17,"Pune",2.5,"No",829700,267300,1192500,9,4,56,1,8,37,"Medium","0–5","36–40","4–5"
"74","E0074","Female",31,"High School","Finance",3,6,1262000,212400,4,2015-08-06,"Mumbai",9.4,"No",1110000,152000,1474400,6,3,80,0,4,48,"Medium","6–10","46–50","1–3"
"75","E0075","Female",21,"Masters","Operations",1,0,456000,14500,1,2012-01-16,"Chennai",13,"No",374900,81100,470500,7,7,29,1,3,39,"Low","0–5","36–40","6–7"
"76","E0076","Female",39,"Masters","Marketing",4,11,1916000,305200,3,2013-10-11,"Hyderabad",11.2,"No",1550400,365600,2221200,6,8,29,1,3,40,"High","11–20","36–40","8–10"
"77","E0077","Female",21,"Bachelors","Finance",1,0,578000,47700,5,2013-12-13,"Chennai",11.1,"Yes",477700,100300,625700,10,4,27,2,3,42,"Low","0–5","41–45","4–5"
"78","E0078","Male",31,"Bachelors","Finance",1,9,760000,68200,5,2020-02-24,"Chennai",4.9,"No",669800,90200,828200,9,7,25,1,4,47,"Low","6–10","46–50","6–7"
"79","E0079","Female",26,"Bachelors","HR",1,1,456000,21300,2,2022-03-20,"Pune",2.8,"No",399500,56500,477300,6,6,28,2,5,54,"Low","0–5","50+","6–7"
"80","E0080","Female",22,"Bachelors","IT",1,0,635000,28100,3,2014-03-24,"Bangalore",10.8,"No",568000,67000,663100,6,6,43,1,5,38,"Low","0–5","36–40","6–7"
"81","E0081","Female",40,"Bachelors","IT",4,18,2171000,510800,4,2020-03-03,"Bangalore",4.8,"Yes",1678000,493000,2681800,9,8,23,4,5,47,"High","11–20","46–50","8–10"
"82","E0082","Male",26,"Bachelors","Marketing",2,4,813000,97800,4,2020-07-20,"Mumbai",4.5,"No",678800,134200,910800,5,4,27,2,5,42,"Medium","0–5","41–45","4–5"
"83","E0083","Female",25,"Bachelors","Marketing",1,0,403000,27000,4,2019-12-12,"Delhi",5.1,"No",353900,49100,430000,4,10,9,2,7,41,"Low","0–5","41–45","8–10"
"84","E0084","Male",29,"Bachelors","IT",2,0,780000,120700,5,2011-01-21,"Chennai",14,"No",652100,127900,900700,7,9,0,1,2,41,"Low","0–5","41–45","8–10"
"85","E0085","Female",32,"High School","Finance",3,8,1295000,235500,5,2022-10-27,"Mumbai",2.2,"No",1084800,210200,1530500,6,10,22,0,1,40,"High","6–10","36–40","8–10"
"86","E0086","Female",23,"Bachelors","Operations",2,1,660000,82100,4,2010-02-12,"Chennai",14.9,"No",545900,114100,742100,6,9,42,0,7,43,"Low","0–5","41–45","8–10"
"87","E0087","Other",28,"Bachelors","Finance",4,6,1824000,514800,5,2010-01-31,"Pune",14.9,"No",1618700,205300,2338800,2,6,29,0,5,47,"High","6–10","46–50","6–7"
"88","E0088","Male",22,"Bachelors","HR",3,0,1039000,99000,2,2022-10-23,"Delhi",2.2,"Yes",797800,241200,1138000,6,7,43,3,4,50,"Medium","0–5","46–50","6–7"
"89","E0089","Male",21,"High School","Operations",1,0,250000,15200,3,2019-06-01,"Delhi",5.6,"No",215200,34800,265200,6,8,41,1,5,41,"Low","0–5","41–45","8–10"
"90","E0090","Female",29,"Masters","Sales",2,6,930000,70900,3,2019-04-28,"Delhi",5.7,"No",714700,215300,1000900,8,8,59,0,6,44,"Medium","6–10","41–45","8–10"
"91","E0091","Female",33,"High School","IT",4,11,1983000,243300,2,2010-11-14,"Pune",14.1,"No",1631700,351300,2226300,5,3,44,1,7,33,"High","11–20","<=35","1–3"
"92","E0092","Male",21,"Bachelors","Sales",1,0,443000,23700,3,2024-09-28,"Pune",0.3,"No",350800,92200,466700,8,6,63,1,3,42,"Low","0–5","41–45","6–7"
"93","E0093","Female",41,"Bachelors","IT",3,18,1685000,205100,3,2024-01-13,"Pune",1,"No",1271300,413700,1890100,4,4,68,1,6,44,"High","11–20","41–45","4–5"
"94","E0094","Male",30,"Bachelors","IT",2,8,899000,74100,3,2013-03-28,"Mumbai",11.8,"No",765700,133300,973100,6,8,23,1,3,43,"Medium","6–10","41–45","8–10"
"95","E0095","Female",32,"Masters","Sales",1,7,724000,45700,3,2021-05-23,"Pune",3.6,"No",549000,175000,769700,8,6,28,0,5,41,"Low","6–10","41–45","6–7"
"96","E0096","Female",28,"High School","Marketing",1,1,459000,30900,4,2023-05-31,"Bangalore",1.6,"No",385800,73200,489900,6,7,55,1,4,50,"Low","0–5","46–50","6–7"
"97","E0097","Male",23,"PhD","HR",2,0,994000,114700,5,2020-05-08,"Mumbai",4.7,"No",848100,145900,1108700,6,6,34,0,1,46,"Medium","0–5","46–50","6–7"
"98","E0098","Female",24,"Masters","Finance",2,0,9e+05,54100,2,2016-01-24,"Hyderabad",8.9,"No",794900,105100,954100,9,6,30,1,5,49,"Medium","0–5","46–50","6–7"
"99","E0099","Female",23,"Bachelors","Finance",3,0,1127000,172200,4,2023-07-23,"Mumbai",1.4,"No",963900,163100,1299200,2,9,54,4,5,33,"Medium","0–5","<=35","8–10"
"100","E0100","Male",30,"Bachelors","IT",2,6,958000,84700,3,2012-11-12,"Bangalore",12.1,"No",745300,212700,1042700,10,6,38,0,5,42,"Medium","6–10","41–45","6–7"
"101","E0101","Male",38,"High School","Operations",3,16,1320000,194400,4,2022-11-07,"Pune",2.2,"No",1116300,203700,1514400,4,6,57,2,3,44,"High","11–20","41–45","6–7"
"102","E0102","Female",33,"Masters","Sales",5,6,2819000,486300,2,2015-06-18,"Mumbai",9.5,"No",2307300,511700,3305300,6,8,32,0,5,37,"High","6–10","36–40","8–10"
"103","E0103","Male",21,"Bachelors","Finance",2,0,836000,34000,2,2023-01-23,"Pune",1.9,"No",705000,131000,870000,6,7,22,0,4,37,"Medium","0–5","36–40","6–7"
"104","E0104","Male",26,"Masters","HR",1,4,653000,3400,1,2019-01-21,"Hyderabad",6,"No",520900,132100,656400,6,5,50,1,2,31,"Low","0–5","<=35","4–5"
"105","E0105","Male",21,"High School","Marketing",2,0,629000,54400,4,2024-08-22,"Delhi",0.4,"No",518500,110500,683400,8,7,47,2,3,40,"Low","0–5","36–40","6–7"
"106","E0106","Male",40,"Masters","Marketing",3,14,1343000,113100,2,2014-11-11,"Pune",10.1,"No",1123900,219100,1456100,2,9,25,2,6,55,"High","11–20","50+","8–10"
"107","E0107","Male",37,"Masters","IT",4,14,2269000,346200,3,2022-12-30,"Hyderabad",2,"No",1736600,532400,2615200,3,10,51,2,4,39,"High","11–20","36–40","8–10"
"108","E0108","Male",21,"PhD","Sales",2,0,956000,88500,3,2013-08-28,"Delhi",11.4,"No",822400,133600,1044500,8,6,21,2,3,37,"Medium","0–5","36–40","6–7"
"109","E0109","Female",36,"PhD","R&D",4,8,2175000,494800,4,2023-02-09,"Pune",1.9,"No",1737300,437700,2669800,8,7,32,0,3,32,"High","6–10","<=35","6–7"
"110","E0110","Female",27,"Masters","R&D",2,5,911000,73000,3,2024-06-20,"Chennai",0.5,"Yes",813700,97300,984000,8,10,55,2,5,45,"Medium","0–5","41–45","8–10"
"111","E0111","Male",21,"Bachelors","Marketing",2,0,712000,65500,3,2024-10-17,"Delhi",0.2,"Yes",577800,134200,777500,8,4,51,1,1,33,"Low","0–5","<=35","4–5"
"112","E0112","Female",26,"High School","Sales",2,0,696000,57800,3,2013-09-08,"Pune",11.3,"No",621400,74600,753800,9,7,40,2,1,43,"Low","0–5","41–45","6–7"
"113","E0113","Female",21,"Masters","Sales",1,0,413000,22400,3,2021-07-15,"Pune",3.5,"No",352600,60400,435400,7,6,42,1,3,48,"Low","0–5","46–50","6–7"
"114","E0114","Male",21,"Bachelors","Finance",1,0,338000,26600,5,2019-06-25,"Bangalore",5.5,"No",302600,35400,364600,6,5,61,4,4,48,"Low","0–5","46–50","4–5"
"115","E0115","Male",27,"Bachelors","Finance",2,5,847000,77100,4,2010-05-09,"Delhi",14.7,"No",741000,106000,924100,7,8,10,1,7,38,"Medium","0–5","36–40","8–10"
"116","E0116","Female",42,"Bachelors","Sales",5,20,2802000,928600,4,2024-03-03,"Pune",0.8,"No",2409700,392300,3730600,9,3,48,5,4,47,"High","11–20","46–50","1–3"
"117","E0117","Male",35,"Bachelors","Marketing",2,9,977000,76200,3,2016-09-08,"Bangalore",8.3,"No",783000,194000,1053200,5,8,36,2,8,38,"Medium","6–10","36–40","8–10"
"118","E0118","Male",21,"PhD","IT",4,0,1917000,345100,3,2019-07-17,"Bangalore",5.5,"No",1715000,202000,2262100,4,7,16,1,3,41,"High","0–5","41–45","6–7"
"119","E0119","Male",26,"Bachelors","Marketing",1,1,259000,14700,4,2018-03-13,"Bangalore",6.8,"Yes",205300,53700,273700,7,3,12,0,3,35,"Low","0–5","<=35","1–3"
"120","E0120","Female",21,"Masters","R&D",1,0,692000,55000,5,2022-07-09,"Chennai",2.5,"No",532900,159100,747000,1,6,11,0,6,31,"Low","0–5","<=35","6–7"
"121","E0121","Male",32,"Bachelors","HR",2,10,856000,48900,3,2011-10-31,"Chennai",13.2,"No",646300,209700,904900,8,6,32,1,6,46,"Medium","6–10","46–50","6–7"
"122","E0122","Female",32,"Bachelors","Operations",3,10,1269000,39900,1,2014-02-06,"Chennai",10.9,"No",1058100,210900,1308900,3,5,42,2,3,48,"Medium","6–10","46–50","4–5"
"123","E0123","Female",41,"Masters","Sales",4,19,2070000,600900,5,2021-10-30,"Mumbai",3.2,"No",1777500,292500,2670900,9,5,32,1,6,44,"High","11–20","41–45","4–5"
"124","E0124","Female",27,"Bachelors","Sales",4,3,1790000,319000,3,2017-12-05,"Pune",7.1,"No",1591200,198800,2109000,4,6,25,0,7,40,"High","0–5","36–40","6–7"
"125","E0125","Female",32,"Bachelors","R&D",3,6,1248000,136500,3,2019-09-13,"Hyderabad",5.3,"No",967600,280400,1384500,1,4,26,2,3,48,"Medium","6–10","46–50","4–5"
"126","E0126","Other",35,"Bachelors","IT",4,13,2022000,481000,4,2024-09-22,"Hyderabad",0.3,"Yes",1633100,388900,2503000,5,7,21,1,3,51,"High","11–20","50+","6–7"
"127","E0127","Female",27,"PhD","R&D",1,3,795000,40000,3,2021-09-21,"Bangalore",3.3,"No",623000,172000,835000,9,5,66,0,6,50,"Medium","0–5","46–50","4–5"
"128","E0128","Female",29,"Masters","Finance",3,7,1258000,144700,3,2024-01-17,"Delhi",1,"No",1072400,185600,1402700,8,6,42,0,4,43,"Medium","6–10","41–45","6–7"
"129","E0129","Female",36,"Bachelors","Finance",3,13,1358000,190000,4,2014-09-07,"Bangalore",10.3,"Yes",1032000,326000,1548000,2,3,81,0,2,46,"High","11–20","46–50","1–3"
"130","E0130","Male",36,"Masters","HR",5,14,2909000,707700,3,2022-10-16,"Mumbai",2.2,"Yes",2520800,388200,3616700,6,5,38,2,3,43,"High","11–20","41–45","4–5"
"131","E0131","Male",24,"Masters","IT",2,0,796000,89900,4,2018-10-16,"Pune",6.2,"No",681700,114300,885900,6,6,59,0,3,42,"Medium","0–5","41–45","6–7"
"132","E0132","Male",22,"High School","Sales",1,0,250000,9900,2,2012-05-26,"Pune",12.6,"No",203100,46900,259900,7,9,24,0,5,51,"Low","0–5","50+","8–10"
"133","E0133","Male",29,"Masters","IT",4,7,1882000,434500,4,2015-04-26,"Pune",9.7,"No",1427800,454200,2316500,5,5,24,2,3,46,"High","6–10","46–50","4–5"
"134","E0134","Male",24,"Masters","IT",2,0,660000,38000,3,2024-08-11,"Hyderabad",0.4,"No",583600,76400,698000,4,3,26,4,5,43,"Low","0–5","41–45","1–3"
"135","E0135","Male",28,"Masters","Operations",1,6,655000,39400,4,2012-06-29,"Bangalore",12.5,"No",493000,162000,694400,8,8,66,2,1,39,"Low","6–10","36–40","8–10"
"136","E0136","Male",34,"High School","Operations",2,11,885000,23700,2,2019-11-07,"Mumbai",5.2,"No",757600,127400,908700,9,8,27,0,5,36,"Medium","11–20","36–40","8–10"
"137","E0137","Male",36,"Bachelors","Finance",3,10,1516000,208800,3,2015-09-04,"Mumbai",9.3,"No",1219500,296500,1724800,4,5,51,1,2,39,"High","6–10","36–40","4–5"
"138","E0138","Male",24,"Bachelors","R&D",2,0,743000,59700,3,2011-07-05,"Pune",13.5,"No",581200,161800,802700,10,8,33,2,2,45,"Low","0–5","41–45","8–10"
"139","E0139","Other",32,"Masters","HR",3,10,1243000,164800,3,2017-07-13,"Pune",7.5,"No",937600,305400,1407800,9,6,55,1,2,34,"Medium","6–10","<=35","6–7"
"140","E0140","Female",22,"Bachelors","Finance",1,0,487000,30800,4,2017-05-07,"Chennai",7.7,"Yes",429600,57400,517800,7,8,32,0,2,40,"Low","0–5","36–40","8–10"
"141","E0141","Female",28,"High School","Marketing",4,6,1749000,256700,2,2012-05-12,"Delhi",12.6,"No",1533300,215700,2005700,6,6,54,1,3,38,"High","6–10","36–40","6–7"
"142","E0142","Female",31,"Bachelors","IT",3,4,1164000,129200,3,2014-05-25,"Delhi",10.6,"No",892000,272000,1293200,6,8,55,1,4,31,"Medium","0–5","<=35","8–10"
"143","E0143","Female",22,"Bachelors","Sales",2,0,812000,117200,5,2018-04-12,"Pune",6.7,"No",729500,82500,929200,7,7,47,0,3,39,"Medium","0–5","36–40","6–7"
"144","E0144","Female",25,"PhD","IT",3,0,1404000,168300,3,2013-05-14,"Mumbai",11.6,"No",1227200,176800,1572300,7,8,58,1,3,42,"High","0–5","41–45","8–10"
"145","E0145","Male",30,"Bachelors","IT",2,3,963000,84000,3,2013-01-10,"Mumbai",12,"Yes",765500,197500,1047000,4,3,36,1,6,35,"Medium","0–5","<=35","1–3"
"146","E0146","Female",22,"Bachelors","IT",2,0,604000,25800,2,2024-11-21,"Delhi",0.1,"No",472100,131900,629800,6,7,38,2,3,45,"Low","0–5","41–45","6–7"
"147","E0147","Female",25,"Masters","Sales",2,0,781000,98700,4,2024-06-22,"Pune",0.5,"No",698600,82400,879700,5,8,27,1,3,38,"Low","0–5","36–40","8–10"
